area,year,rent,category
Northgate/Maple Leaf,2025,1799,Medium
Broadview/Bitter Lake,2025,1827,Low
Fremont,2025,1514,Low
Green Lake,2025,1864,High
Greenwood/Phinney Ridge,2025,1425,Low
Sunset Hill/Loyal Heights,2025,1496,Low
Miller Park,2025,2114,Medium
Ravenna/Bryant,2025,2573,High
Ravenna/Bryant,2025,2060,Medium
Wedgwood/View Ridge,2025,2342,High
Laurelhurst/Sand Point,2025,1257,Low
Interbay,2025,1923,Medium
Queen Anne,2025,2686,High
Downtown Commercial Core,2025,3636,High
Downtown Commercial Core,2025,2799,High
Central Area/Squire Park,2025,2155,High
Cascade/Eastlake,2025,3399,High
Queen Anne,2025,2185,High
Duwamish/SODO,2025,2315,High
West Seattle Junction/Genesee Hill,2025,1975,Medium
North Beacon Hill/Jefferson Park,2025,1655,Low
West Seattle Junction/Genesee Hill,2025,2166,High
Madrona/Leschi,2025,2250,High
Columbia City,2025,1864,Medium
South Beacon Hill/NewHolly,2025,2520,High
Riverview,2025,1345,Low
Greenwood/Phinney Ridge,2025,1006,Low
University District,2025,1768,Medium
Ravenna/Bryant,2025,1895,High
Laurelhurst/Sand Point,2025,2132,High
Queen Anne,2025,2105,Medium
Montlake/Portage Bay,2025,1901,High
Magnolia,2025,1572,Low
Queen Anne,2025,1610,Low
Capitol Hill,2025,2133,High
First Hill,2025,2001,High
Capitol Hill,2025,1854,High
West Seattle Junction/Genesee Hill,2025,1737,Medium
Central Area/Squire Park,2025,1909,Medium
First Hill,2025,2218,High
Fauntleroy/Seaview,2025,1094,Low
Highland Park,2025,1783,Low
Roxhill/Westwood,2025,1579,Low
Fauntleroy/Seaview,2025,1636,Medium
Northgate/Maple Leaf,2025,2085,Medium
Cedar Park/Meadowbrook,2025,1734,Low
Ballard,2025,2172,High
Wallingford,2025,2075,Medium
Greenwood/Phinney Ridge,2025,1983,Medium
Ravenna/Bryant,2025,1610,Low
Capitol Hill,2025,1736,Medium
Queen Anne,2025,1924,Medium
Interbay,2025,1485,Low
Queen Anne,2025,1620,Low
Fremont,2025,1934,High
Interbay,2025,2106,Medium
Capitol Hill,2025,1620,Medium
Capitol Hill,2025,1603,Medium
Alki/Admiral,2025,1863,Low
Alki/Admiral,2025,1705,Low
Central Area/Squire Park,2025,1656,Medium
Roxhill/Westwood,2025,1505,Low
South Park,2025,900,Low
Georgetown,2025,1329,Low
Seward Park,2025,1490,Low
High Point,2025,1993,Medium
Olympic Hills/Victory Heights,2025,1555,Low
Olympic Hills/Victory Heights,2025,1624,Low
Olympic Hills/Victory Heights,2025,1634,Low
Cedar Park/Meadowbrook,2025,1532,Low
Whittier Heights,2025,1694,Medium
Green Lake,2025,2044,High
Northgate/Maple Leaf,2025,2280,High
North Capitol Hill,2025,1930,Medium
University District,2025,1607,Medium
Ravenna/Bryant,2025,2121,High
Northgate/Maple Leaf,2025,1735,Low
Madison Park,2025,2118,High
Cascade/Eastlake,2025,1928,Medium
Queen Anne,2025,1691,Medium
Queen Anne,2025,1966,Medium
Wallingford,2025,1569,Medium
Wallingford,2025,2021,High
First Hill,2025,1775,High
Belltown,2025,2543,High
Central Area/Squire Park,2025,1712,Medium
Cascade/Eastlake,2025,2856,High
Cascade/Eastlake,2025,2508,High
Columbia City,2025,2129,High
Pioneer Square/International District,2025,1929,Medium
Pioneer Square/International District,2025,1814,Medium
Haller Lake,2025,1585,Low
Greenwood/Phinney Ridge,2025,1328,Low
North Beach/Blue Ridge,2025,1273,Low
North Beach/Blue Ridge,2025,1816,Low
Licton Springs,2025,1317,Low
Ravenna/Bryant,2025,1940,High
Queen Anne,2025,1597,Medium
Fremont,2025,1720,Medium
Wallingford,2025,1305,Low
First Hill,2025,2525,High
Columbia City,2025,1728,Medium
Haller Lake,2025,1929,Medium
Olympic Hills/Victory Heights,2025,1726,Low
Whittier Heights,2025,1550,Low
Ravenna/Bryant,2025,2146,High
Capitol Hill,2025,1664,Medium
Queen Anne,2025,2595,High
Madrona/Leschi,2025,1820,Low
Capitol Hill,2025,2134,High
Cascade/Eastlake,2025,2211,High
Cascade/Eastlake,2025,2741,High
Columbia City,2025,1652,Low
North Delridge,2025,1643,Medium
Mt. Baker/North Rainier,2025,1444,Medium
North Beacon Hill/Jefferson Park,2025,1798,Medium
Rainier Beach,2025,1349,Low
Fauntleroy/Seaview,2025,1536,Low
Roxhill/Westwood,2025,2253,Medium
High Point,2025,1973,Medium
Fauntleroy/Seaview,2025,1528,Low
Broadview/Bitter Lake,2025,1350,Low
Haller Lake,2025,1136,Low
Sunset Hill/Loyal Heights,2025,1733,Medium
Whittier Heights,2025,1772,Medium
Greenwood/Phinney Ridge,2025,1918,Medium
North Beach/Blue Ridge,2025,1655,Medium
Wedgwood/View Ridge,2025,1333,Medium
Wedgwood/View Ridge,2025,1336,Low
Queen Anne,2025,2101,High
Queen Anne,2025,2387,High
Fremont,2025,2320,High
Belltown,2025,2394,High
Belltown,2025,2261,High
Capitol Hill,2025,2012,High
Cascade/Eastlake,2025,3328,High
North Beacon Hill/Jefferson Park,2025,1809,Medium
Rainier Beach,2025,1552,Low
Ballard,2025,1830,High
Cedar Park/Meadowbrook,2025,1642,Low
Broadview/Bitter Lake,2025,1599,Low
Sunset Hill/Loyal Heights,2025,2212,High
Green Lake,2025,1432,Low
Ballard,2025,2017,High
Green Lake,2025,1725,Low
Licton Springs,2025,1529,Low
Wallingford,2025,1791,Medium
University District,2025,1551,Medium
University District,2025,1544,Medium
University District,2025,1320,Medium
Laurelhurst/Sand Point,2025,1205,Low
Fremont,2025,2045,High
Central Area/Squire Park,2025,1550,Medium
Capitol Hill,2025,1941,High
Miller Park,2025,1840,Medium
Seward Park,2025,1375,Low
Beacon Hill,2025,1470,Low
West Seattle Junction/Genesee Hill,2025,2153,High
West Seattle Junction/Genesee Hill,2025,1929,High
Judkins Park,2025,1957,Medium
